benchmark_time,commit_time,commit_pr,git_hash,run_number,Eager Runtime (ms),Compilation Time (ms),Script Runtime (ms),10th Script Runtime (ms)
2019-09-18 21:49:05,2019-09-05 21:45:30,23207,a6fb6e1fb39f1f4a509dec04e4719ff9e2d04c83,0,963.846331,2622.301265,8432.899545,908.7071609999999
2019-09-18 21:49:05,2019-09-05 21:45:30,23207,a6fb6e1fb39f1f4a509dec04e4719ff9e2d04c83,1,917.866738,3198.794008,13001.096933,3815.964934
2019-09-18 21:49:05,2019-09-05 21:45:30,23207,a6fb6e1fb39f1f4a509dec04e4719ff9e2d04c83,2,4684.5995889999995,5755.127842,14376.769452,864.092909
2019-09-18 21:49:05,2019-09-05 21:45:30,23207,a6fb6e1fb39f1f4a509dec04e4719ff9e2d04c83,3,865.0188989999999,2579.258367,5179.220781,590.121632
2019-09-18 21:49:05,2019-09-05 21:45:30,23207,a6fb6e1fb39f1f4a509dec04e4719ff9e2d04c83,4,599.72235,2390.163902,4365.360421,597.4219429999999
2019-09-18 21:49:05,2019-09-05 21:45:30,23207,a6fb6e1fb39f1f4a509dec04e4719ff9e2d04c83,5,597.6873499999999,2473.988994,4422.108412,598.485782
2019-09-18 21:49:05,2019-09-05 21:45:30,23207,a6fb6e1fb39f1f4a509dec04e4719ff9e2d04c83,6,867.05953,2816.837242,4368.379019999999,752.736034
2019-09-18 21:49:05,2019-09-05 21:45:30,23207,a6fb6e1fb39f1f4a509dec04e4719ff9e2d04c83,7,951.559316,2825.999071,4179.573645,601.196019
2019-09-18 21:49:05,2019-09-05 21:45:30,23207,a6fb6e1fb39f1f4a509dec04e4719ff9e2d04c83,8,599.178274,2826.596321,4914.426313,587.5553170000001
2019-09-18 21:49:05,2019-09-05 21:45:30,23207,a6fb6e1fb39f1f4a509dec04e4719ff9e2d04c83,9,591.627569,2867.4314900000004,5169.351477,886.371441
